podcast_id;response
134;"    - The show discusses the reasons why people commit crimes, specifically, the story of a man who committed robberies as a form of revenge and a woman who shoplifted as a way to cope with her loneliness and depression.   - The man explained that he started stealing when he was young as a form of rebellion against his strict parents, and that it became a way to feel powerful and in control. He also mentioned that he enjoyed the thrill of getting away with it.   - The woman shoplifting story is about a woman who began stealing as a child and continued to steal as an adult. She stole to feel powerful and to"" "
135;"    - Amy McGuiness flies people to the North Pole, where they spend half an hour taking photos of themselves on the ice. - A man named Michael Korda, who started his career as an editorial assistant at Simon & Schuster in 1958, talks about how he rose through the ranks of the publishing industry. - A woman named Jenny Blum, who worked as an assistant to an editor at Simon & Schuster from 1984 to 1988, married an author from the company and now has three kids. - A woman named Phyll Levy, who started her career at Simon Schuster in 1955,"" "
136;"    1. As a child, Meghan Daum was fascinated by the Laura Ingalls books. She wanted to be like Laura, wearing a sunbonnet and braiding her hair.  2. As an adult, Meghan decides to move to Nebraska, to see the place Laura Ingalls lived.  3. In DeSmet, Meghan meets people who are still celebrating Laura Ingalls' life, including Marian Cramer, who runs the Laura Ingalls Pageant.  4. The Laura Ingalls Pageant celebrates the life of the Ingalls family, with actors lip-syncing to prerecorded dialogue.  5. The pageant is a"" "
137;"    Jug Burkett, a businessman from Dallas, was tasked with creating a memorial for the Texas soldiers who died in the Vietnam War. He faced opposition from those who believed the war was immoral, but he persevered, and eventually, a memorial was built. However, the opposition didn't stop there. One night, a vagrant killed a police officer at a traffic stop, and the media reported that the vagrant was a Vietnam veteran, which led to more criticism of the memorial.   Glenn Loury is a professor at Boston University who has written about black identity. He once took his son to a forest preserve in"" "
138;"    * In 1996, the Democratic National Convention was held in Chicago, and the city spent millions of dollars to clean up the neighborhoods along the route between the hotels and the United Center, the convention arena.  * One night after the convention, a group of people, including the author, took a cab to their hotels, and he noticed the changes that had taken place in the neighborhood.   * The streets were newly paved, the sidewalks were cleaned, and there was a playground with a large jungle gym.   * The author met with residents of the neighborhood, and they told him that the physical changes were good, but they were"" "
139;"    The story follows the story of a family business that was torn apart by conflict between family members, specifically between the two brothers. The story begins with the younger brother, who worked in the warehouse, being groomed by the older brother, the head of the sales department.   The younger brother was hired into a role he wasn't qualified for, and the other salesmen felt that he was holding them back and wanted him gone. The younger brother was pushed out of the business and the family was torn apart.   The story follows the younger brother's exit from the business, and the consequences of the conflict on the family. The younger"" "
140;"    * Morpheus, a radio enthusiast, lives in the invisible world of the radio spectrum, tuning into the voices of the people and machines that surround us.  * George, another radio enthusiast, listens to emergency dispatches and police transmissions, giving him a glimpse into the world of those who protect and serve.  * The podcast """"Faster Than A Speeding Bullet"""" explores the invisible world of radio, highlighting the experiences of people who live and work in the invisible world of radio.  * In one episode, George explains how he first started listening to police transmissions, and how it became a hobby for him.  * In another episode,"" "
141;"  Barbara Clinkscales is a single mother of two teenage boys. Her son Gerald, who is 17, is about to become a father himself after getting his girlfriend pregnant. Gerald and Keisha are both in high school, and they were planning to go to their senior prom together. However, after Keisha got pregnant, their parents and their friends were not very supportive. The situation was difficult for Barbara, as she had to deal with her son's emotions and also worry about his future. She struggled to find a job, and her son's grades were slipping. She was feeling overwhelmed and depressed, but she remained determined to support her"" "
142;"    The show discusses the story of Dorothy Gaines, a mother of three who was sentenced to 19 years in prison for possession of two kilograms of crack cocaine. The story highlights the flaws in the mandatory sentencing guidelines for drug crimes, which can result in disproportionate sentences for first-time offenders.  The show also examines the history of drug laws, beginning with the passage of the Anti-Drug Abuse Act of 1986, which was rushed through Congress in just four weeks and introduced mandatory minimum sentences for drug crimes. This was done in response to the death of Len Bias, a basketball player from the University of Maryland, who died from a cocaine overdose"" "
143;"    Mark Blank, a union representative, decides to write his obituary with the help of his daughter, Adrian. He begins by writing the headline, """"Adrian LeBlank, product of the working class."""" He believes that the obituary should reflect the importance of unions in his life and the struggles of workers.  Ira Blank, Mark's daughter, begins by writing the headline of her father's obituary. She believes that the headline should reflect the importance of her father in her life, and his contributions to the union movement.   The two Blank siblings discuss the process of writing their father's obituary. They"" "
144;"  Danielle's family has a tradition of calling fried chicken """"fish"""" during holiday dinners. When Danielle was young, she and her sister Ashley would often fight over this, with Danielle always winning. As Danielle grew older, she realized that the tradition was more than just a fun game, and it was a way to keep Ashley in line. The puppet Duki, a stuffed duck, was the ultimate tool in keeping Ashley in check. The puppet would often insult Danielle, and Danielle would always win. However, as Danielle grew up, she started to realize that she had more affection for Duki than her sister, and she began to wonder if"" "
145;"   - Kate Aurthur became the rat columnist for the New York Times in 2017. - She wrote about her experience in a rat-infested alley in New York City. - She mentioned the story of a truck driver who picked her up when she was hitchhiking on I-75 in Florida. - She described her experience in Miami, where she saw people fishing in the polluted waters of Biscayne Bay. - She described the urban fishing scene in Detroit, Chicago, and San Francisco, and how nature is reclaiming these cities.<|end_of_text|>"" "
146;"    The story begins with a youth group from a church in Chicago going on a mission trip to West Virginia to help renovate a house for a family. They spend the week working on the house, getting to know the family, and also holding a vacation Bible school for local kids. During the trip, the youth group members get to know the family and the local kids, and reflect on their own faith and how they interact with others.   One of the youth members, Arden, struggles with doubt and questions her faith. She feels distant from God and is unsure if she can trust her emotions. Another youth member, Joel, feels"" "
147;"    In this episode of the podcast, we explore the concept of Santa Claus, the mythical figure who brings gifts to children during Christmas. The discussion starts with an introduction to the origins of the Santa Claus character and how he has evolved over time, from a dignified bishop to a jolly, plump man in a red suit.   The episode continues with a discussion on the various ways that Santa is portrayed in popular culture, including songs, literature, and movies. We explore the idea that Santa Claus is a ladies' man, a sex symbol, and a ho.   The episode then delves into the idea that Santa Claus is"" "
148;"    1. Robert had a friend whose mother was a powerful judge in New York City. She got sick and needed to be hospitalized.   2. Robert was 14 years old when he was badly burned in a fire and spent several weeks in the burn unit at Children's National Medical Center in Washington, DC.   3. Robert developed a close bond with his nurse, Tina, who took him out for ice cream.   4. Tina, a nurse at the burn unit, took Robert out for ice cream to make him feel better.   5. Robert's story was told by Brent Runyon, who was 14 years old"" "
149;"   - When Adam was 8 years old, he lived in New York and was invited to a party by his cousin, who was scheming to escape from Vietnam.  - Adam's brother was invited to join the group because he knew how to fix engines, which was thought to be useful on the journey.  - Adam was also invited to join the group, but he didn't think he'd be able to make it out of Vietnam.  - He thought of the trip as an opportunity to travel and explore the world, but he also thought of it as a risk, as he could be caught and sent back home.  "" "
150;"    - The podcast begins with an introduction by the host, Sarah Vowell, who describes the show's topic as """"people who feel connected to their political candidates.""""  - The first segment, titled """"Eliminate the Middleman,"""" features a story about two college students who volunteered for the Bill Bradley campaign in New Hampshire. The students explain how they were inspired by the candidate's speech and how they went door-to-door to promote his campaign.  - The second segment, """"The Mask Behind the Mask,"""" features an interview with George W. Bush, where he discusses his morning routine and how he connects with the American people.  - The third segment"" "
151;"    A young boy falls in love with a girl, Mary Claude, who he knows from high school. He follows her around, never making a move, as she is oblivious to his feelings. He eventually gets frustrated and kisses her, but she recoils. He then tries to make amends with her by apologizing, but she rejects him.   Joe's mother is upset with him, and threatens to send him away. He refuses to leave, but his father passes away, leaving Joe's mother alone. She tries to get him to apologize to Mary Claude, but he refuses. Joe's mother gets frustrated and tells him to get"" "
152;"    The story of American Girl Place, a store that sells dolls and accessories to girls of all ages. The store is located in Chicago and has a unique concept where they sell dolls that represent different eras in American history. The dolls are accompanied by chapter books that tell stories about the lives of the girls.   The store's concept is to create a place where girls can play out their fantasies and pretend to be the dolls they admire. It is a space where they can dress up, play games, and be imaginative. The store has a cafe, a museum, and a theater where they can watch the dolls come to life in a"" "
153;"    Heather and her girlfriend lived with a cat named Sid.   Sid was the favorite pet of Heather's mother.   Heather's mother was always inventing cute little affectionate nicknames for Sid.   Heather's mother would constantly praise Sid and ask Heather to praise him.   Heather was jealous of Sid's relationship with her mother.   One night, Heather woke up to the sound of Sid meowing.   Heather went to investigate and found Sid in the living room, moving the furniture around.   Heather's mother had passed away, and Heather was left with the responsibility of caring for Sid.   He"" "
154;"    1. Sean Cole grew up in a small town in Massachusetts, but he moved to New York City to attend college. He pretended to be British for two years, adopting an accent and lifestyle. He was able to convince his mother to believe in his lie, but not his friends or himself.   2. Joel Lovell grew up in a working-class family in upstate New York. He was the first person in his family to go to college, and he attended Cornell University. He pretended to be British for two years, adopting an accent and lifestyle. His friends and family believed him, but not himself.   3. Nancy"" "
155;"   - The podcast discusses the experience of people who were struck by lightning.  - The first story is about a woman who survived a lightning strike and her memories of the experience.  - The second story is about a man who was exiled from the Soviet Union and his experiences living in the American suburbs.  - The third story is about a supermarket that was built in a low-income neighborhood in Chicago, and how it affected the community.  In summary, the podcast discusses the experiences of people who were struck by lightning, a man who was exiled from the Soviet Union and how he adapted to life in the American suburbs, and"" "
156;"   - The narrator describes the different people that he sees during the day in a wealthy neighborhood in Chicago.  - He talks about the different types of people that he sees, such as retirees, drug dealers, and nannies.  - He talks about the nannies, who are Filipino and take care of children during the day, and how they see their jobs as being more than just childcare.  - He talks about the struggle of one nanny to save money for her family back in the Philippines, and how she uses her ingenuity to save up and plan a trip.  - He also talks about the struggles of the parents,"" "
157;"    The podcast begins with a man who claims to be Canadian, but is actually American, explaining that he has a fake Canadian accent. He then talks about how he was a teacher in Connecticut who led his students in a simulation of a totalitarian takeover of their school.   In the second act, a woman talks about her experience in a mob, where she was asked to keep an eye on a man who was pretending to be a reporter. She explains that she was a Cuban-American who came to support Elian Gonzalez, a six-year-old boy who was caught in a custody battle between his father in Cuba and his Miami-based maternal grandparents."" "
158;"    1. There's a subset of families in the US where children imitate their mothers all the time, even into adulthood.  2. Jonnafer's mother, Shirley Glass, is a psychologist in Baltimore. She recalls the time when her father left when she was a child, and how she had to take care of her three children.   3. Jonnafer's mother would talk in a country accent, and Jonna would imitate her by saying """"Sharon, Sharon, Sharon, Sharon, Sharon, Sharon, I know you hear me talking to you, Sharon, Sharon, get up, Sharon, I'm going"" "
159;"    In 2000, Jack Robinson announced his candidacy for the United States Senate seat from Massachusetts, facing incumbent Ted Kennedy. However, Robinson's campaign was quickly attacked by his opponents, who accused him of being a drunk driver, having a restraining order against him, and having a history of legal issues.   The attacks were relentless, and Robinson was forced to respond. In an effort to defend himself, Robinson released """"The Robinson Report,"""" a document that detailed his personal history, including his past legal issues, and even his drinking habits.   The report was met with mixed reactions, with some people viewing it as a brave and honest move"" "
160;"    1. While driving in a taxi, the narrator records his passengers on a cassette tape, capturing their stories.   2. In a 1988 BMW 5 Series, Rob Levine drives a producer named Edgar Sherick, who was head of ABC in the 1960s and went on to produce many films. Rob Levine is expected to know everything Edgar Sherick is reading and who he is calling, but often Edgar forgets and Rob has to remind him.   3. In a 1991 Toyota Camry, Ernest Castle, a college student, drives around his hometown with his friend Clarence, where they grew up and"" "
161;"    1. Ben, a mentally ill man, moves into a shelter in New York City after he becomes homeless. He lives in the shelter for 8 years, but one day he decides to leave, closes the door, breaks the key off, and leaves.  2. Ben spends his days hanging out in the park, listening to his Walkman and playing pool with the other clients. He gets his food and clothes from the other clients and staff members of the shelter.  3. Dave, one of the clients, tries to convince Ben to move out of the shelter and into his own place. Dave believes that Ben is free, but"" "
162;"  Monica Childs worked her way up the police force in Detroit, from patrol to the vice squad to homicide. She was part of an elite team of investigators. However, her career came to an end when she refused to lie or cover up for her colleagues and was removed from office.   In 1996, Monica Childs was part of a team of investigators tasked with solving the murder of an 11-year-old boy. The suspect was brought into the station, but Monica refused to take his statement as she believed it would be illegal. She tried to get her colleagues to take the statement, but they refused.   Monica's"" "
163;"    A young orphan has a knack for finding lost objects, even when they're not visible. As he grows older, this ability becomes stronger, and he can even sniff out lost items.   One day, he's called to help find a missing child. The child's mother is desperate to find her son, and the boy is nowhere to be found.   The young man goes to the child's house, and finds a blue shirt in the backyard. He follows the scent of the shirt, and eventually finds the boy in a neighbor's backyard, watching television. The boy is unresponsive, and the young man gently holds him in"" "
164;"    1. The first part of the story is about the author's experience of living in Paris, France. He talks about how he has to deal with the language barrier and the difficulties of learning French, as well as the occasional incidents where he has to deal with people who are not very nice to him because of his accent or his language skills.   2. The second part of the story is about the author's experience of Parisian culture. He talks about the places he likes to go, including hardware stores, cafes, and bookstores, and the way people treat him there. He also talks about how he enjoys feeling like an"" "
165;"    In this episode, we explore the idea of family dynamics and the impact of change on relationships. We begin with the story of a brother and sister who have grown up together and have maintained a close relationship. However, when the sister visits her brother in Alaska, she finds that he has undergone a dramatic change and now identifies as a Christian. She struggles to understand and accept her brother's new beliefs.   Next, we hear the story of two sisters who have always dressed alike and done everything together. They have a close bond that seems to be unaffected by the passing of time. However, as they get older, they start to realize"" "
166;"   In 1965, reporter Jean Stafford spent three days with Mrs. Oswald, the mother of Lee Harvey Oswald, the accused assassin of President John F. Kennedy.   Mrs. Oswald wanted to set the record straight about her son. She felt that she and her son were being remembered wrongly and that she had devoted her life to setting the record straight. She discussed her son's life, including his love for sports, his time at an orphanage, and his love of playing hooky.   The Warren Commission investigated Lee's childhood in detail. They discussed everything from his favorite games to his fondness for playing hooky. They"" "
167;"    - Mark Whitacre, an ADM executive, admitted to FBI agents that he was part of an international price fixing conspiracy involving ADM, three other companies, and their executives.   - The FBI set up a sting operation to gather evidence against the conspirators, including Markacre, who acted as an informant.   - Whitacre recorded conversations with executives from ADM and other companies during meetings in which they agreed to fix prices of lysine, a feed additive used in animal feed, and other products.   - Whitacre secretly recorded over 300 hours of conversations and meetings, which became evidence for the FBI's case.   - The FBI"" "
168;"    In this episode, the host interviews Marcus Johnson, a boxing trainer from the South Side of Chicago, who has dedicated his life to making himself happy. Marcus believes that happiness is something that can be achieved through hard work and faith.   The host begins by discussing Marcus' boxing gym, which is frequented by Hollywood celebrities, and his role as a trainer. Marcus reveals that he does not like boxing and started it only to please his father, who wanted him to become a champion. However, he continued boxing as it was the only thing that kept him safe and fed during his childhood.   The host then talks about Marcus' party"" "
169;"   The '96 immigration act was passed to combat terrorism and to stop lenient immigration judges from allowing so many convicted felons to stay in the US.  The bill was written by the Republicans in a secret conference committee, which never met, and they added retroactive provisions which were voted down by the committee.  The retroactivity of the law reached back and penalized people who were convicted of crimes years ago.  The law took away judges' discretion to decide whether someone should be deported.  The INS says it's unfair and is asking for changes to the law.  The bill passed by the House and is now in the"" "
170;"  Matt Futterman, a student running for student government, used a creative and humorous campaign strategy to garner support and win the election. He distributed free wood to students during his campaign, which resulted in a surge of popularity among his supporters. His campaign slogan, """"Vote for Matt, he's good, he'll give you wood"""", was memorable and resonated with the student body. Additionally, his TV commercial featuring Matt distributing wood to students was effective in conveying his message and generating interest among the student population. Matt's creative and unconventional approach to campaigning ultimately proved successful, as he won the election.<|end_of_text|>"" "
171;"    The Golden Apple Diner is a 24-hour diner located in Chicago, Illinois. It is known for its friendly and welcoming atmosphere, as well as its diverse and colorful clientele. The diner is a popular spot for locals, especially in the early morning hours when it's quiet and the regulars can chat.   The show starts with a brief introduction of the diner and its history, followed by a description of the different types of people who frequent the diner.   The first story is about a young woman named Allison who meets a guy named Oscar at a party and is immediately attracted to him. She invites him to the Golden Apple D"" "
172;"    1. The story of a conman named Richard Castellano, who moved to a small town in New York and deceived the people into believing that he was a movie star, and that he was going to make a movie in the town.   2. The story of a black lawyer, Lawrence Otis Graham, who went undercover as a busboy in an all-white country club to gain access to the wealthy and influential members of the club.   3. The story of David Sedaris, a writer living in Paris, who was accidentally mistaken for a pickpocket by an American couple on the Paris subway.<|end_of_text|>"" "
173;"    The podcast was about holidays and milestones, with a focus on the story of a young man named Warren who had a brief affair with an older woman named Gail when he was 21. The story took place in New Hampshire, where Warren was a plumber and Gail was married with two teenage sons.   Warren and Gail met at a VFW party, where they danced together while Gail's husband played cards. Gail encouraged Warren to pursue acting and he did so, though he eventually gave up on his acting career.   Years later, Warren and Gail met at a Greek restaurant on her 80th birthday"" "
174;"    All right, guys. We're going to be staying at a lake house for the summer. It's going to be amazing. We'll have our own private cottage, and we can go swimming, fishing, and just have fun.   The Mcary family is an imaginary family that Myron and Carol invented to babysit for. They are a lawyer, a psychiatrist, and a doctor who tells Mrs. Mcary that she's going to die. The family is a way for Myron and Carol to reassure their mother that they are doing well and taking care of themselves.   Mrs. Mcary is a lonely woman who never"" "
175;"    The podcast discusses the outcome of the 2000 Presidential election, which saw George W. Bush narrowly winning over Al Gore. It highlights the unfairness of the recount process in Florida, with different standards being applied in different counties, and the potential for bias in the results. The podcast also explores the impact of the election on the country, with some people feeling a sense of bitterness and anger towards the opposing party.   The podcast features an interview with Reverend Richard Harris, a minister from Belgrade, Florida, who was involved in registering voters for the election. He describes his efforts to reach out to people and encourage them to vote"" "
176;"    The story of Lee, an illegal immigrant who worked in a series of Chinese restaurants in small towns in Pennsylvania, Ohio, and New York. Despite his struggles, he was determined to learn English and improve his life. He eventually became a successful restaurateur and lived a comfortable life.   Julie Andrews World, a young woman from a traditional Mexican family, grew up in the United States and aspired to have a career in animation. She attended college and worked in a variety of jobs in Los Angeles, trying to break into the film industry. Despite her struggles, she remained determined to pursue her dreams.   In the end, both"" "
177;"    Chris Ware is an American cartoonist and author who created the character Jimmy Corrigan, the Smartest Kid on Earth. He is known for his unique and complex artwork, which often features intricate drawings and panels. In his comic books, Ware explores themes of loss, grief, and the human condition.  In an interview, Ware discussed the power of superheroes and their ability to influence and manipulate people. He mentions a story about two young boys who claimed to have supernatural powers, which they used to gain influence and control over their community. Ware argues that these kinds of stories have a profound effect on people, especially those who are vulnerable and"" "
178;"    Father Kastigar was a priest who moved to Cicero in the 1980s and became involved in local politics. He tried to change the town by closing down strip clubs and bars, but this led to him being harassed and his garage being blown up. He and his wife eventually left Cicero and moved to Houston, Texas.   However, 10 years later, they moved back to Cicero. Kastigar got involved in politics again, this time campaigning against the incumbent town president, Betty Lorenaltes. He promised not to get involved in politics and not to use his family's money, but he did both"" "
179;"    Jonathan Katz, a former cartoonist and TV show host, revisits his childhood by listening to old tapes of his family. He then decides to go back to his hometown in Brooklyn, where he lived as a kid, to see what has changed.   During his trip, he meets with his sister Phyllis and an engineer, who help him find his old home. While they're there, they meet the current owner of the house, who tries to sell it to them.   Jonathan is surprised to find that the house is a dump and is shocked that his old furniture is gone. He feels sad about losing his old home"" "
180;"    Scott Carrier, a radio producer, shares his experiences of working on a story for a popular radio program called """"Friendly Man"""". He discusses his encounters with various individuals and the challenges he faced in conducting interviews. He also shares his personal experiences of falling in love with his mother and his reflections on the nature of love and marriage.   The summary includes the following points:   1. Scott Carrier's experiences in working on a story for the """"Friendly Man"""" radio program.   2. His encounters with various individuals while conducting interviews.   3. His personal experiences of falling in love with his mother and reflections on the nature of love and"" "
181;"    Joe, an office worker, has a young daughter who loves to come to work and play with him. He tries to make the best of the situation, but one day, he feels that he has to chase the girl away from the office, and he does so.   Alan Alda, an actor, talks about his experiences on the set of the show """"M*A*S*H"""" and how he tries to portray the truth and humanity of the characters. He believes that the show should not teach any lessons, but rather, it should reflect the experiences of real people.   Adam Davidson, a teenager, keeps a diary of"" "
182;"    Glen's story is about a child who was adopted by a couple and grew up with them. However, he always had a desire to know more about his biological family, especially his mother. He often fantasized about his mother being a princess, living in a faraway land, and was determined to find her. Despite his best efforts, he was unable to locate her.   The second part of the story is about a group of child actors who were instructed to create characters for a therapy exercise. They all chose to play orphans, and it was revealed that they were all from affluent families who were supportive. The story of"" "
183;"    In 1991, Arnold Abbott started a charity to help the homeless. The organization, called """"Love Thy Neighbor,"""" provided food, clothing, and shelter to those in need.   In 2004, Catherine Sims, a woman from Michigan, reached out to Abbott to ask him to stop using the name """"Love Thy Neighbor.""""   Abbott refused, citing the organization's mission and the good work it had done over the years.   In 2010, the Department of Housing and Urban Development in Washington, DC, DC, received multiple complaints about the rats infesting Mrs. G's house.   Despite the complaints,"" "
184;"    In this story, Kate and Joel are in a relationship and she has a pair of jeans that she believes makes her look good. One day, Joel asks her to throw away the jeans and Kate reluctantly agrees. However, she misses the jeans and regrets her decision.   In the second part, the story is about the Mission District of San Francisco and how the rising real estate market has changed the neighborhood. The story follows the struggles of a landlord named Maurice and his tenant, Jimmy. Maurice wants to evict Jimmy, but Jimmy refuses to leave and instead moves into the house next door.   In the end, the story is about"" "
185;"  In 1994, a reporter for NPR's All Things Considered wrote about the prom in Hoising, Kansas, which was struck by a tornado on the night of the prom. The story was about the impact the tornado had on the students, their families, and the community as a whole. The reporter interviewed several students and their parents, as well as the principal of the school and the author of a book series about proms. The story also included a description of the prom itself, with its gowns, corsages, and corny music. The reporter also discussed the impact of the prom on the community, highlighting the importance"" "
186;"    The podcast is about the struggles of a father and his son, who are trying to come to terms with the fact that the father is no longer a superhero, but a human being with all the flaws and vulnerabilities. The son, Nick Flynn, is trying to understand his father's past, including his imprisonment in Alcatraz, his relationship with Solzhenits, and his methods of robbing banks. He interviews the men who were in his mother's life and tries to make sense of his father's behavior. He films his father and tries to find a connection with him, but it seems like his father is always stuck in"" "
187;"    In this episode of the podcast, the host Ira Glass shares a story about a young boy, Nick, who is struggling to make sense of his father's rare and fatal brain disease. The disease is slowly atrophying his brain, causing him to lose his ability to work, drive, reason, feel emotions, count, go to the bathroom, walk, talk, swallow, and breathe.   The host then shares an excerpt from a short story by Michael Chon about a young boy who thinks that he can stop people from dying by stopping babies from being born.   In the third act, the host shares an excerpt from"" "
188;"    In 1989, a Jewish rabbi in Florida organized a ceremony to sink Hitler's yacht, which had been donated to a Holocaust museum. The yacht was towed to Miami harbor, where a group of survivors watched it sink into the sea. The ceremony was meant to symbolize the end of the Nazi regime and its ideals.  However, the story of the yacht's journey from Jacksonville, Florida, where it had been stored for decades, is more complex. The yacht was donated by a German shipbuilder to a German museum in 1946, but the museum could not afford to keep it. It was then sold to a"" "
189;"    1. Tito, a trans woman, shares her story of transitioning from male to female and the challenges she faces in society.  2. Hodgman, a literary agent, shares his experience representing the famous actor Bruce Campbell in the publishing of his memoir.  3. A 16-year-old Adam Davidson keeps a diary about his dreams of becoming the Prime Minister of Israel and his struggles with his identity.   In conclusion, the three stories highlight the challenges and triumphs of individuals in their journey to self-discovery and acceptance.<|end_of_text|>"" "
190;"    1. The podcast begins with a description of a hot, humid day in Chicago.   2. The hosts of the podcast discuss the concept of heat, and how it can be measured and experienced in different ways.   3. They explore the idea of heat being subjective, and how it can be experienced differently by different people.   4. They talk about the concept of the """"heat index"""", which combines temperature and humidity to provide a more accurate representation of how hot it actually feels.   5. They discuss the impact of heat on people's physical and mental health, and the importance of staying hydrated and finding ways to cool down"" "
191;"    A few years back, a science fiction writer named Stephen Goldin prepared for an upcoming sci-fi convention. He thought it might be nice if he could meet one of his favorite authors, so he decided to create some guidelines for how to behave at the convention. He then met with the author and discussed the rules.   The author, David Rakoff, is a writer who enjoys making things in his spare time. He finds that the act of making something brings him a sense of peace and a loss of time. However, he struggles to maintain that feeling when he is working on his writing job.   One day, he decided to"" "
192;"    Genevieve Jurgens, a French woman, lost her two daughters, Elise and Mathilde, at the ages of four and seven, respectively. She wrote a series of letters to her friend, twelve years after their deaths, to try to cope with her grief and make sense of what had happened. She was keenly aware that she wanted them to seem, in the letters, to be more than just names.   Mark LeBlanc, a union leader and father, was shot and killed. His son, David, was 15 at the time. He vowed to become a professional football player and find the man"" "
193;"   The story of Sarah who was at Pier 94 in New York City, a couple of days after the 9/11 attacks, and her encounter with a man who was walking in circles, touching the top of his head, and holding a flyer with a picture of a man.  The story of Linn Simpson, who was working on the 89th floor of the World Trade Center for a small company called Strategic Communications, and her escape from the building, along with 20 others, after the first plane hit the building. She recounted how she tried to escape, but the emergency door was locked, and how she and her"" "
194;"    On September 11, 2001, the United States was attacked by a group of terrorists who hijacked four planes and flew them into the World Trade Center and the Pentagon, killing thousands of people. In the days following weeks, the country was in a state of shock and fear, wondering what the next move would be.   The government and the people of the country were divided on the issue of whether to go to war with the perpetrators of the attacks. Some believed that war was the only way to bring justice to the victims and to protect the country from further attacks, while others were skeptical about the efficacy of war and the"" "
195;"  Larry Keeley, a consultant, was invited to speak at a conference where he discussed the concept of innovation and how companies can become more competitive. During the conference, two military officials asked him about the recent terrorist attacks on the World Trade Center and Pentagon. Keeley expressed his views on the situation, including his belief that the attacks were carried out by Osama bin Laden, who was the scapegoat for the attacks. However, he also pointed out that there was no clear evidence linking bin Laden to the attacks. Keeley also discussed the impact of the attacks on the Arab and Muslim communities in the United States. He shared his experiences with"" "
196;"  The story of Rod Hudson, a dairy farmer who struggled with the sudden decline in his business due to the mysterious illness of his cows. The story follows his journey from a successful farmer to a bankrupt man, and his eventual redemption as a shuttle driver. The story also highlights the importance of naming things, as it can change the way we perceive them and how we interact with them.<|end_of_text|>"" "
197;"    He recalls the story of a man who decided to wear a Superman costume to cheer himself up after his wife's death. He goes to bars, sporting the costume, and is greeted with laughter and admiration. However, he also meets Lois Lane, who initially falls for him, but later realizes his shortcomings and moves on. Superman, on the other hand, remains obsessed with the emptiness of the universe and falls into a deep depression. He searches for God, and when he fails to find him, he becomes increasingly bitter and depressed.   In the end, the man's decision to wear a Superman costume, while initially successful in cheering"" "
198;"    In 1973, a group of kids stumbled upon an abandoned house in Freedom, New Hampshire. The house was filled with old belongings, including a box of old newspapers. A boy from Chicago named Adam Beckman was intrigued by the house and its contents. He spent years researching the family that had once lived there, uncovering their story through letters, photographs, and other documents.   The family's story begins with Jesse and Bertha Nason, who lived in the house with their nine children. Jesse and Bertha ran a store near Effingham Falls and moved to the apartment above the store, taking what they needed and leaving"" "
199;"    Bob Hope, a famous comedian and entertainer, was known for his USO shows, which he performed for US soldiers around the world during the Second World War and throughout his career.   The USO shows were a way for Bob to entertain and bring a little bit of home to the soldiers, and they were a success, with Bob becoming an icon of American patriotism. However, as the years went by, the shows became more controversial, with some soldiers booing Bob and giving him the finger, and the criticism of the shows grew.   Bob's image as a non-partisan, apolitical entertainer was challenged when"" "
200;"    In the first act, the story of a reporter who follows a religious leader named Omar Bakri, who is believed to be an extremist. The reporter initially views Omarri as an """"them,"""" but as he gets to know him better, he changes his opinion. However, after the September 11 attacks, the reporter's opinion of Omarri changes once again, and he is unsure what to think of him.  In the second act, the story of a journalist who travels to Amsterdam to report on the Christmas spirit of the city. The journalist is surprised to learn that the Dutch view Santa Claus differently than Americans do, and that their"" "
201;"    In 1985, a Presbyterian church in Tennessee hired a young preacher to serve several churches, including Bethel, a predominantly black congregation. The preacher, Ralph Hutchison, was a slight, earnest, red-headed man. For the next five years, the arrangement worked well, with Ralph preaching at the churches twice a month. During this time, Ralph became an activist, preaching about the evils of racism and other social justice issues. He also became involved in a group in Knoxville that was protesting the US government's policies in Central America. The group organized a mock funeral to draw attention to the deaths of innocent people in the region,"" "
202;"   - A man named John Brasfield served as an Army scout during the Persian Gulf War in 1991. He kept a recording device in his Humve, a lightly armored vehicle, to record his experiences.  - During one mission, he and his team were ordered to engage and destroy Iraqi vehicles, which were carrying prisoners of war. While the team was unaware of the presence of the prisoners, Brasfield argued against the decision to engage, believing that the prisoners were willing to surrender.  - Brasfield later expressed regret for his participation in the engagement, but came to terms with his actions and rationalized his decision, believing that"" "
203;"  In 1970, 90% of the American Psychiatric Association believed that homosexuality was a pathology. In 1987, 90% of the APA believed that it was a normal variant of sexual behavior, no more pathological than something like left-handedness. In 1973, the APA changed the Diagnostic and Statistical Manual to remove the classification of homosexuality as a mental illness. This change was made possible through a combination of scientific debate and the growing acceptance of homosexuality by psychiatrists, who had the opportunity to meet and interact with gay men. The story of the change is a complex one, with multiple players, including Evelyn Hooker"" "
204;"    Frank Sinatra Jr. was kidnapped in 1963 by Barry Keenan, who planned to use the ransom money to invest in real estate and make a profit. Keenan was eventually caught and sentenced to life plus 75 years, but was released after 4 years due to a psychiatric evaluation that found him legally insane at the time of the crime. In 2003, Showtime made a movie based on the story, but Keenan did not receive any money from the deal.   In this story, we learn about the motivations behind Keenan's actions, as well as the repercussions of his actions. We also get to see"" "
